CVE_ID,Published_Date,Description,CVSS_Score,Severity,Affected_OS,Year,Month,Severity_Category,Vulnerability_Type
CVE-2020-10015,2021-04-02,"An out-of-bounds write issue was addressed with improved bounds checking. This issue is fixed in macOS Big Sur 11.1, Security Update 2020-001 Catalina, Security Update 2020-007 Mojave, macOS Big Sur 11.0.1. An application may be able to execute arbitrary code with kernel privileges.",7.8,HIGH,macOS,2021,4,High,Other
CVE-2020-10016,2020-12-08,"A memory corruption issue was addressed with improved state management. This issue is fixed in macOS Big Sur 11.0.1, iOS 14.2 and iPadOS 14.2, tvOS 14.2, watchOS 7.1. An application may be able to execute arbitrary code with kernel privileges.",7.8,HIGH,macOS,2020,12,High,Memory Corruption
CVE-2020-10690,2020-05-08,"There is a use-after-free in kernel versions before 5.5 due to a race condition between the release of ptp_clock and cdev while resource deallocation. When a (high privileged) process allocates a ptp device file (like /dev/ptpX) and voluntarily goes to sleep. During this time if the underlying device is removed, it can cause an exploitable condition as the process wakes up to terminate and clean all attached files. The system crashes due to the cdev structure being invalid (as already freed) which is pointed to by the inode.",6.4,MEDIUM,Linux,2020,5,Medium,Memory Corruption
CVE-2020-10711,2020-05-22,"A NULL pointer dereference flaw was found in the Linux kernel's SELinux subsystem in versions before 5.7. This flaw occurs while importing the Commercial IP Security Option (CIPSO) protocol's category bitmap into the SELinux extensible bitmap via the' ebitmap_netlbl_import' routine. While processing the CIPSO restricted bitmap tag in the 'cipso_v4_parsetag_rbm' routine, it sets the security attribute to indicate that the category bitmap is present, even if it has not been allocated. This issue leads to a NULL pointer dereference issue while importing the same category bitmap into SELinux. This flaw allows a remote network user to crash the system kernel, resulting in a denial of service.",5.9,MEDIUM,Linux,2020,5,Medium,Denial of Service
CVE-2020-10720,2020-09-03,A flaw was found in the Linux kernel's implementation of GRO in versions before 5.2. This flaw allows an attacker with local access to crash the system.,5.5,MEDIUM,Linux,2020,9,Medium,Denial of Service
CVE-2020-10732,2020-06-12,A flaw was found in the Linux kernel's implementation of Userspace core dumps. This flaw allows an attacker with a local account to crash a trivial program and exfiltrate private kernel data.,4.4,MEDIUM,Linux,2020,6,Medium,Denial of Service
CVE-2020-10742,2021-06-02,"A flaw was found in the Linux kernel. An index buffer overflow during Direct IO write leading to the NFS client to crash. In some cases, a reach out of the index after one memory allocation by kmalloc will cause a kernel panic. The highest threat from this vulnerability is to data confidentiality and system availability.",6.0,MEDIUM,Linux,2021,6,Medium,Memory Corruption
CVE-2020-10751,2020-05-26,"A flaw was found in the Linux kernels SELinux LSM hook implementation before version 5.7, where it incorrectly assumed that an skb would only contain a single netlink message. The hook would incorrectly only validate the first netlink message in the skb and allow or deny the rest of the messages within the skb with the granted permission without further processing.",6.1,MEDIUM,Linux,2020,5,Medium,Other
CVE-2020-10757,2020-06-09,A flaw was found in the Linux Kernel in versions after 4.5-rc1 in the way mremap handled DAX Huge Pages. This flaw allows a local attacker with access to a DAX enabled storage to escalate their privileges on the system.,7.8,HIGH,Linux,2020,6,High,Other
CVE-2020-10766,2020-09-15,A logic bug flaw was found in Linux kernel before 5.8-rc1 in the implementation of SSBD. A bug in the logic handling allows an attacker with a local account to disable SSBD protection during a context switch when additional speculative execution mitigations are in place. This issue was introduced when the per task/process conditional STIPB switching was added on top of the existing SSBD switching. The highest threat from this vulnerability is to confidentiality.,5.5,MEDIUM,Linux,2020,9,Medium,Other
